Target,AccMeanX,AccMeanY,AccMeanZ,AccMedianX,AccMedianY,AccMedianZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroMedianX,GyroMedianY,GyroMedianZ
1,0.36588,-0.15463,-0.96891,0.44373,-0.13672,-1.00281,-1.47219,3.06707,0.03599,-1.14504,2.45802,0.91603
1,0.40683,-0.15072,-0.92140,0.46106,-0.13672,-0.97864,-2.37132,2.83969,0.65267,-1.92748,2.45802,0.91603
1,0.41143,-0.15463,-0.92229,0.46106,-0.13672,-0.98486,-2.46074,2.68048,0.59433,-2.19084,2.25573,0.62977
1,0.41232,-0.16575,-0.91678,0.46106,-0.14575,-0.98486,-2.11559,2.36532,0.64940,-2.19084,2.22137,0.83588
1,0.39701,-0.16082,-0.91833,0.46106,-0.14575,-0.98486,-1.85878,2.03435,0.60742,-2.19084,2.12595,0.54198
1,0.36729,-0.14920,-0.92308,0.45776,-0.13770,-1.00903,-1.57306,2.18539,0.78462,-2.19084,2.12595,1.11832
1,0.34520,-0.14155,-0.92093,0.38635,-0.12744,-1.00574,-1.23991,2.35115,0.90949,-1.16031,2.12595,1.11832
1,0.32000,-0.11862,-0.91581,0.31860,-0.12354,-0.99365,-1.44057,2.48146,1.08506,-1.49618,2.12595,1.11832
1,0.30943,-0.11445,-0.91626,0.27966,-0.11523,-0.99365,-1.28680,2.21047,1.18157,-0.72519,2.12595,1.11832
1,0.30061,-0.11189,-0.92847,0.22510,-0.09985,-1.00574,-0.98364,2.42966,0.97328,-0.59924,2.22137,0.82443
1,0.28221,-0.11012,-0.92372,0.19373,-0.09729,-1.00574,-1.01799,2.89149,0.90458,-0.79008,2.25573,0.79771
1,0.26102,-0.10278,-0.92022,0.18884,-0.06543,-0.99365,-1.60251,3.03708,0.81352,-0.82443,3.20229,0.79008
1,0.24048,-0.09874,-0.91574,0.18835,-0.06543,-0.98486,-1.35660,3.19084,0.73882,-0.81298,4.17176,0.79008
1,0.21948,-0.08173,-0.93412,0.18835,-0.06519,-0.98560,-0.88550,3.32279,0.58888,-0.81298,4.17176,0.79008
1,0.19638,-0.07326,-0.95133,0.18835,-0.06299,-0.99438,-0.74973,3.46838,0.73282,-0.79008,4.22137,0.79771
1,0.19704,-0.06635,-0.98767,0.18835,-0.06226,-0.99438,-0.28680,4.42312,0.64613,-0.79008,4.25954,0.79771
1,0.20239,-0.06154,-0.97888,0.18835,-0.06189,-0.98560,0.21265,4.26718,0.71374,-0.72137,4.25954,0.82443
1,0.21048,-0.04701,-0.97320,0.18835,-0.06030,-0.98560,-0.77208,4.63795,0.85442,-0.79008,4.29771,0.82443
